Server-Analyse (nur lesend)
Datei    : TRIN__02_salestype_restliste.sql
Standort : TRIN (Indien)
Quelle   : SAGE
Host     : 20.197.20.60:30015
Schema   : TRAFAG_LIVE
Zeitpunkt: 2026-08-05 11:20:41
Statements: 6

=== Runde 2: Verteilung des Sales Type und die Restliste fuer RanVijay ===
SALES_TYPE | VENDOR | ARTIKEL | RECHNUNGSZEILEN
FFM | ohne Vendor | 1184 | 5830
LRD | mit Vendor | 93 | 454
-- | ohne Vendor | 65 | 112
-- | mit Vendor | 64 | 264
LRD | ohne Vendor | 30 | 256
FFM | mit Vendor | 10 | 78
CM | ohne Vendor | 2 | 23
NULL | ohne Vendor | 1 | 1
-- 8 Zeile(n), 311 ms

=== 2 RESTLISTE: Artikel, die einen Preferred Vendor brauchen und keinen haben ===
ARTIKEL | BEZEICHNUNG | SALES_TYPE | RECHNUNGSZEILEN | MENGE
DM000289 | DENSITYMONITOR_64738 , Customer Part No.:1HYS900349-105 | -- | V0078 | 3
2100623 | Adaptor SS316L 1/4"BSP(F)x1/2BSP(M) | -- |  | 3
IC38455 | Sensor tube 87X9 | -- |  | 3
R65272 | NIPPLE 1419 G1/2’ MS | -- | V0078 | 3
R65074 | NIPPLE 1417 G1/2"’ Brass | -- | V0078 | 3
IC38557 | Base Plate 87XX (Casting) | -- | V0040 | 3
IC38571 | Cover with Opening (Casting) | -- | V0040 | 3
2100288 | Adaptor SS 316 1/8BSP(M)x1/4BSP(F) | -- |  | 3
IC32413 | Sensor Bulb (Typ 022)-Cu | -- |  | 3
IC41212 | WEATHER COVER RADIAL 87x9 COMP. | -- |  | 2
F60050 | PROTECTION TUBE SS 8411 G=110K with accessories | -- |  | 2
IR85060 | Brass Closing Pin for Sensor Bulb | -- | V0071 | 2
R65210 | NIPPLE 8319 G1/2' MS D14 | -- | V0078 | 2
IC36013 | Tube  87x9 | -- | V0076 | 2
2100096 | Adaptor SS316 1/4BSP(M)x1/2NPT(M) | -- | V0110 | 2
2100641 | Adaptor SS316L 3/8"BSP(F)x1/2BSP(M) for Gas density Sensor | -- | V0110 | 2
2100014 | Tag Plate (S.S) | -- | V0496 | 2
5100463 | "Thermowell 1412", SS316L_G1/2"_IL-110mm | -- |  | 2
R65029 | NIPPLE 1216 G1/2’ MS D10 | -- | V0078 | 2
IR65290 | Slotted Washer 7.4x14x1.5 Brass Ni plated | -- |  | 2
R65158 | Rubber seal D15/5/5 | -- | V0078 | 2
IR65146 | Slotted Screw for fastening-G3/8 Brass Nickle plated | -- |  | 2
R64009 | PERFOR.PIPE D17 L=265MM BRASS | -- | V0078 | 2
IK30000 | Hexagon NutB M10 MS | -- | V0057 | 2
R65365 | CENTRE DISC f.perf.protection tube iD 4 | -- | V0078 | 2
HC15247 | BOURDON TUBE LOW PRESSURE INDICATOR | -- | V0078 | 2
C16421 | Density monitor Foam Cover code 37 | -- | V0078 | 2
IR14183 | Mounting Braket (Thermostat) | -- | V0408 | 2
c40867 | NIPPEL 1439 G1/2" | -- |  | 2
F60073 | Protection Tube  SS 8411 G=400mm with accessories | -- |  | 2
2100127 | "Snubber SS 304, 1/4BSP(M)x1/4BSP(F)" | -- | V0007 | 2
IR64515 | Protection tube 1211 L=400 mm | -- |  | 2
SM000037 | Solenoid valve coil (8W) | -- |  | 1
SM000034 | Lamp 40mA | -- |  | 1
SM000033 | T315 mA | -- |  | 1
SM000032 | T250mA | -- |  | 1
SM000023 | Fuse T0.5A | -- |  | 1
SM000031 | Fuse T6.3A | -- |  | 1
SM000024 | Fuse T1A L | -- |  | 1
SM000025 | Fuse T1A H | -- |  | 1
SM000030 | Fuse T5.0A | -- |  | 1
SM000029 | Fuse T4.0A | -- |  | 1
SM000026 | Fuse T1.25A | -- |  | 1
H05226 | Bellow Sleeve TP20 L200 ID Ø 22 (NG20 BR) | -- |  | 1
SM000027 | Fuse T1.6A | -- |  | 1
SM000028 | Fuse T2.0A | -- |  | 1
IE00806 | Cable gland M25x1.5 for DM 8....16mm | -- | V0065 | 1
IR64759 | Protection tube8316, IL-110mm ID-8mm,OD-10mm | -- | V0042 | 1
R65098 | NIPPLE 1341 G1/2’ MS | -- |  | 1
R65060 | NIPPEL 1217 G1/2a MS D12 | -- | V0078 | 1
