Server-Analyse (nur lesend)
Datei    : TRIN__04_matnr_bruecke.sql
Standort : TRIN (Indien)
Quelle   : SAGE
Host     : 20.197.20.60:30015
Schema   : TRAFAG_LIVE
Zeitpunkt: 2026-08-05 14:18:12
Statements: 3

=== Runde 4: Gibt es auf dem indischen Artikel die Trafag-Materialnummer? ===
SALES_TYPE | ARTIKEL | MIT_OMN | MIT_ORDERING_CODE | MIT_CUSTOMER_PN | MIT_DRAWING_NO
FFM | 1194 | 1037 | 1189 | 215 | 61
-- | 129 | 96 | 1 | 7 | 2
LRD | 123 | 121 | 119 | 72 | 11
CM | 2 | 0 | 0 | 0 | 2
NULL | 1 | 0 | 0 | 0 | 0
-- 5 Zeile(n), 538 ms

=== 2 Alle LRD-Artikel mit ihren Nummern - Grundlage fuer den Abgleich mit GroupStandardCosts ===
ARTIKEL | MATERIAL_NO | ORDERING_CODE | VENDOR | RECHNUNGSZEILEN
DM000064 | 45979 | 8746 20 2300 Y1 0000 0000 60 61 71 01 01 01 | V0078 | 2
DM000290 | 58390 | 8783.20.1430.Y1.0000.0000.11.60.61.66.U1.01.01.01 | V0078 | 2
DM000065 | 57893 | 8782.20.2551.Y1.0000.0000.06.11.46.60.61.U1.01.01.01 | V0078 | 2
DM000309 | 48749 | 8736.20.2300.Y1.0000.0000..60.61.71.01.01.01 | V0078 | 2
PT000036 | 45228 | 8252.79.2517.01.0000.0000.19.34.44.61 | V0078 | 2
PT000002 | 57290 | 8283.77.2511.05.0000.0000.19.58 | V0078 | 2
DM000296 | 65035 | 8783.20.1430.Y1.0000.0000.11.60.61.66.U1.01.01.01 | V0078 | 2
DM000213 | 60452 | 8793.21.2551.Y1.0000.0000.06.11.46.60.61.79.95.U1.01.01.01 |  | 2
DM000169 | 63385 | 8783.20.2551.Y1.0000.0000.06.11.46.60.61.U1.01.01.01 | V0078 | 2
PS000754 | 3790 | 900.2672.900 |  | 2
PT000042 | 44418 | 8252 84 2517 32 0000 0000 19 44 61 | V0078 | 2
